trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
337,False,"{'a': 0.5, 'e': 0.41213221791123295}",20,16,8.77232631623471,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
338,False,"{'a': 0.5, 'e': 0.7984961861625556}",35,10,-66.24612741773349,"{0: 16, 1: 3, 2: 5, 3: 1, 4: 0}",1
339,False,"{'a': 0.5, 'e': 0.989360439513222}",25,0,-79.1699794914321,"{0: 14, 1: 3, 2: 8, 3: 0, 4: 0}",0
340,False,"{'a': 0.5, 'e': 0.9379947521194415}",30,0,-196.27576803150112,"{0: 15, 1: 3, 2: 8, 3: 2, 4: 2}",0
341,False,"{'a': 0.5, 'e': 0.6569752356961871}",20,0,-35.25648849520648,"{0: 14, 1: 0, 2: 6, 3: 0, 4: 0}",0
342,False,"{'a': 0.5, 'e': 0.21510526876214117}",25,6,15.469713072079033,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 0}",1
343,False,"{'a': 0.5, 'e': 0.2794299700233931}",25,11,19.3741984315483,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
344,False,"{'a': 0.5, 'e': 0.7055510066862999}",25,0,-131.67236239963816,"{0: 16, 1: 1, 2: 5, 3: 1, 4: 2}",0
345,False,"{'a': 0.5, 'e': 0.958928549960796}",20,10,3.5119183304418264,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
346,False,"{'a': 0.5, 'e': 0.9775269404025313}",30,0,-187.79921406936268,"{0: 16, 1: 5, 2: 4, 3: 3, 4: 2}",0
347,False,"{'a': 0.5, 'e': 0.7567926433898263}",35,27,0.928304717636558,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
348,False,"{'a': 0.5, 'e': 0.3507691132091307}",20,15,-11.420286810287159,"{0: 4, 1: 0, 2: 0, 3: 1, 4: 0}",1
349,False,"{'a': 0.5, 'e': 0.14113492938566014}",30,16,-14.8559953266804,"{0: 10, 1: 2, 2: 2, 3: 0, 4: 0}",1
350,False,"{'a': 0.5, 'e': 0.5984842190140996}",20,6,-106.63396149350645,"{0: 9, 1: 0, 2: 2, 3: 1, 4: 2}",1
351,False,"{'a': 0.5, 'e': 0.9093036989610448}",25,7,-87.54655677356907,"{0: 12, 1: 2, 2: 2, 3: 0, 4: 2}",1
352,False,"{'a': 0.5, 'e': 0.9974939203271522}",30,0,-84.06628717390205,"{0: 22, 1: 4, 2: 1, 3: 2, 4: 1}",0
353,False,"{'a': 0.5, 'e': 0.8414628411805024}",30,16,-9.780079523175147,"{0: 10, 1: 3, 2: 1, 3: 0, 4: 0}",1
354,False,"{'a': 0.5, 'e': 0.47941231147032193}",35,0,-148.25391843687848,"{0: 23, 1: 2, 2: 8, 3: 0, 4: 2}",0
355,False,"{'a': 0.5, 'e': 1.50721766814562e-05}",25,15,18.263156594633443,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
